ID,houseID,price,lastElectric,curElectric,lastWater,curWater,net,date,lastValue,curValue,desc
ID,房间号,房租,上月电费,本月电费,上月水费,本月水费,是否有网,时间,上月西边电费,本月西边电费,备注或描述
1-1-20200210,,203,400,7122,7252,38,1,20200213,lastValue,lastValue,以后发电子收据XXXXXXXXXXXXXXXXXX需要纸质收据说下
1-1-20200221,405,400,7140,7270,56,60,21,20200231,3863,3925,以后发电子收据，需要纸质收据说下
1-1-20200222,407,400,7142,7272,58,62,23,20200233,3865,3927,以后发电子收据，需要纸质收据说下
1-1-20200223,501,400,7144,7274,60,64,25,20200235,3867,3929,以后发电子收据，需要纸质收据说下
1-1-20200224,503,400,7146,7276,62,66,27,20200237,3869,3931,以后发电子收据，需要纸质收据说下
101-20200211,101,10000,7119,7249,35,39,0,20200210,3842,3904,以后发电子收据，需要纸质收据说下
101-20200222,406,400,7141,7271,57,61,22,20200232,3864,3926,以后发电子收据，需要纸质收据说下
101-20200223,408,520,7143,7273,59,63,24,20200234,3866,3928,以后发电子收据，需要纸质收据说下
101-20200224,502,400,7145,7275,61,65,26,20200236,3868,3930,以后发电子收据，需要纸质收据说下
101-20200225,504,400,7147,7277,63,67,28,20200238,3870,3932,以后发电子收据，需要纸质收据说下
201-20200211,201,500,7120,7250,36,40,1,20200211,3843,3905,以后发电子收据，需要纸质收据说下
202-20200212,202,400,7121,7251,37,41,2,20200212,3844,3906,以后发电子收据，需要纸质收据说下
203-20200212,203,400,7122,7252,38,42,3,20200213,3845,3907,以后发电子收据，需要纸质收据说下
204-20200213,204,400,7123,7253,39,43,4,20200214,3846,3908,以后发电子收据，需要纸质收据说下
205-20200213,205,500,7124,7254,40,44,5,20200215,3847,3909,以后发电子收据，需要纸质收据说下
206-20200214,206,400,7125,7255,41,45,6,20200216,3848,3910,以后发电子收据，需要纸质收据说下
207-20200214,207,400,7126,7256,42,46,7,20200217,3849,3911,以后发电子收据，需要纸质收据说下
208-20200215,208,500,7127,7257,43,47,8,20200218,3850,3912,以后发电子收据，需要纸质收据说下
301-20200215,301,400,7128,7258,44,48,9,20200219,3851,3913,以后发电子收据，需要纸质收据说下
302-20200216,302,400,7129,7259,45,49,10,20200220,3852,3914,以后发电子收据，需要纸质收据说下
303-20200216,303,400,7130,7260,46,50,11,20200221,3853,3915,以后发电子收据，需要纸质收据说下
304-20200217,304,400,7131,7261,47,51,12,20200222,3854,3916,以后发电子收据，需要纸质收据说下
305-20200217,305,400,7132,7262,48,52,13,20200223,3855,3917,以后发电子收据，需要纸质收据说下
306-20200218,306,400,7133,7263,49,53,14,20200224,3856,3918,以后发电子收据，需要纸质收据说下
307-20200218,307,400,7134,7264,50,54,15,20200225,3857,3919,以后发电子收据，需要纸质收据说下
308-20200219,308,400,7135,7265,51,55,16,20200226,3858,3920,以后发电子收据，需要纸质收据说下
401-20200219,401,400,7136,7266,52,56,17,20200227,3859,3921,以后发电子收据，需要纸质收据说下
402-20200220,402,400,7137,7267,53,57,18,20200228,3860,3922,以后发电子收据，需要纸质收据说下
403-20200220,403,400,7138,7268,54,58,19,20200229,3861,3923,以后发电子收据，需要纸质收据说下
404-20200221,404,400,7139,7269,55,59,20,20200230,3862,3924,以后发电子收据，需要纸质收据说下
